food_code,food_name,category,kcal_100g,protein_100g,carbs_100g,fat_100g,sugars_100g,fiber_100g
13210,"Stewed fruits, no added sugars (pulp or mixed fruits,), prepacked, refrigerated","fruits, vegetables, legumes and nuts",58.7,0.43,12.7,0.29,11.5,2.02
13153,"Stewed fruits, no added sugars, pulp or mixed fruits), prepacked, room temperature","fruits, vegetables, legumes and nuts",56.4,0.25,13.3,0.3,11.3,1.7
13215,"Stewed fruits, sugar content unknown (pulp or mixed fruits, w or without sugar, but always with other ingredient), prepacked (average)","fruits, vegetables, legumes and nuts",72.7,0.28,16.5,0.41,15.1,1.71
13208,"Stewed fruits, sweetened (pulp or mixed fruits, with sugar(s), but always with other ingredient), prepacked, refrigerated","fruits, vegetables, legumes and nuts",79.2,0.36,18.2,0.22,17.1,1.87
13154,"Stewed fruits, sweetened (pulp or mixed fruits, with sugar(s), but always with other ingredient), prepacked, room temperature","fruits, vegetables, legumes and nuts",72.7,0.28,16.5,0.41,15.1,1.71
25124,Stewed lamb garnished with potatoes and other vegetables,starters and dishes,135.0,9.72,3.85,8.61,1.29,1.53
18343,Still beverage with fruit juice and milk,beverages,47.7,0.68,10.7,0.041,9.89,0.53
18065,"Still soft drink with tea extract, flavoured, no added sugars and with sweetener(s)",beverages,0.53,2.5e-05,0.22,1.5e-05,0.055,0.083
18064,"Still soft drink with tea extract, flavoured, reduced sugar",beverages,14.9,1e-05,3.75,1.1e-05,3.6,0.063
18075,"Still soft drink with tea extract, flavoured, with sugar(s)",beverages,23.2,0.02,5.78,0.0027,5.65,0.13
18062,"Still soft drink with tea extract, sugar and sweetener contents unknown (average)",beverages,21.1,0.017,5.26,0.0023,5.13,0.12
18015,"Still soft drink with tea extract, with sugar(s) and sweetener(s)",beverages,17.1,0.027,4.25,0.022,4.16,0.083
18021,"Still soft drink, fruit content <10%, no added sugars and with sweetener(s)",beverages,4.07,0.06,0.96,0.0,0.96,0.0
18023,"Still soft drink, fruit content <10%, with sugar(s)",beverages,25.6,0.13,6.39,0.11,6.1,0.004
18294,"Still soft drink, fruit content <10%, with sugar(s), refrigerated fortified with vitamin(s)",beverages,33.7,0.0,8.42,0.0,8.34,0.0
18305,"Still soft drink, fruit content >= 10% and < 50%, no added sugars",beverages,13.0,0.052,3.18,0.0067,3.06,2.5e-05
18304,"Still soft drink, fruit content >= 10% and < 50%, reduced sugar",beverages,18.8,0.22,4.71,0.22,4.66,0.0
18339,"Still soft drink, fruit content >= 10% and < 50%, with sugar(s)",beverages,41.1,0.13,9.92,0.14,8.87,0.19
18024,"Still soft drink, fruit content >= 10% and < 50%, with sugar(s) and with sweetener(s)",beverages,23.3,0.06,5.83,0.06,5.4,0.5
18295,"Still soft drink, fruit content >= 10% and < 50%, with sugar(s), fortified with vitamin(s)",beverages,38.0,2e-05,9.49,2e-05,9.25,0.18
